Code__c,Name,IsActive__c
0087,ANZ - AUSTRALIA SUBSIDIARY,TRUE
0088,ANZ - AUSTRALIA,TRUE
0089,ANZ - OFFSHORE,TRUE
0090,ANZ - OFFSHORE SUBSIDIARY,TRUE
0108,Berry Fruit Growing,TRUE
0109,Citrus Growing,TRUE
0110,Horticulture Glasshouses,TRUE
0111,PLANT NURSERIES,TRUE
0112,CUT FLOWER & FLOWER SEED GROWING,TRUE
0113,VEGETABLE GROWING,TRUE
0114,GRAPE GROWING,TRUE
0115,APPLE & PEAR GROWING,TRUE
0116,STONE FRUIT GROWING,TRUE
0117,KIWI FRUIT GROWING,TRUE
0118,CITRUS FRUIT GROWING,TRUE
0119,FRUIT GROWING n.e.c.,TRUE
0121,Intensive Cropping,TRUE
0122,Grain Growing With Some Finishing Stock,TRUE
0123,Sheep - High Country South Island,TRUE
0124,Sheep/Beef Hill Country Breeding/ Predominantly Store,TRUE
0125,Sheep/Beef Hill Country Breeding/Predominantly Finishing,TRUE
0126,Sheep - Intensive Finishing,TRUE
0127,Beef Farming - Breeding/Finishing/Trade,TRUE
0130,DAIRY CATTLE FARMING,TRUE
0131,Dairy Farming Town Milk/Winter Contract,TRUE
0132,Share Milking (Own Herd),TRUE
0133,Dairy Farming - Seasonal Supply,TRUE
0134,Contract Milking,TRUE
0141,POULTRY FARMING (MEAT),TRUE
0142,POULTRY FARMING (EGGS),TRUE
0151,PIG FARMING,TRUE
0152,HORSE FARMING,TRUE
0153,DEER FARMING,TRUE
0154,Bee Keeping,TRUE
0155,Goat Farming,TRUE
0159,LIVESTOCK FARMING n.e.c.,TRUE
0161,SUGAR CANE GROWING,TRUE
0162,Cotton Growing,TRUE
0163,DRY LAND COTTON GROWING,TRUE
0164,IRRIGATED COTTON GROWING,TRUE
0165,COTTON GROWING n.e.c.,TRUE
0166,TOBACCO GROWING,TRUE
0169,CROP & PLANT GROWING n.e.c.,TRUE
0171,GRAIN GROWING (EXCEPT WHEAT),TRUE
0172,WHEAT GROWING,TRUE
0173,GRAIN-SHEEP & GRAIN- BEEF CATTLE FARMING,TRUE
0174,SHEEP-BEEF CATTLE FARMING,TRUE
0175,SHEEP FARMING FOR WOOL,TRUE
0176,SHEEP FARMING FOR MEAT,TRUE
0177,SHEEP FARMING (EXCEPT FOR WOOL OR MEAT),TRUE
0178,BEEF CATTLE FARMING,TRUE
0211,COTTON GINNING,TRUE
0212,SHEARING SERVICES,TRUE
0213,AERIAL AGRICULTURAL SERVICES,TRUE
0214,Kiwifruit - Packhouse/Coolstore Only,TRUE
0215,Other Horticultural Packhouse/Coolstore,TRUE
0216,Agricultural Contract Services,TRUE
0217,Horticultural Contract Services,TRUE
0218,Grain Drying And Seed Dressing,TRUE
0219,SERVICES TO AGRICULTURE n.e.c.,TRUE
0220,HUNTING & TRAPPING,TRUE
0301,FORESTRY,TRUE
0302,LOGGING,TRUE
0303,SERVICES TO FORESTRY,TRUE
0411,ROCK LOBSTER FISHING,TRUE
0412,PRAWN FISHING,TRUE
0413,Finfish Trawling,TRUE
0414,SQUID JIGGING,TRUE
0415,LINE FISHING,TRUE
0416,TUNA FISHING,TRUE
0417,FINFISH FISHING (EXCEPT TUNA),TRUE
0418,Oyster Fishing,TRUE
0419,MARINE FISHING n.e.c.,TRUE
0420,AQUACULTURE,TRUE
0421,Oyster Farming,TRUE
0422,Mussel Farming,TRUE
0423,Prawn Farming,TRUE
0424,Salmon And Trout Farming,TRUE
0429,Aquaculture N.E.C.,TRUE
1101,BLACK COAL MINING,TRUE
1102,BROWN COAL MINING,TRUE
1200,OIL & GAS EXTRACTION,TRUE
1311,IRON ORE MINING,TRUE
1312,BAUXITE MINING,TRUE
1313,COPPER ORE MINING,TRUE
1314,GOLD ORE MINING,TRUE
1315,MINERAL SAND MINING,TRUE
1316,NICKEL ORE MINING,TRUE
1317,SILVER/LEAD/ZINC ORE MINING,TRUE
1319,METAL ORE MINING n.e.c.,TRUE
1411,GRAVEL & SAND QUARRYING,TRUE
1412,Limestone Quarrying,TRUE
1419,CONSTRUCTION MATERIAL MINING,TRUE
1420,MINING n.e.c.,TRUE
1511,PETROLEUM EXPLORATION (OWN ACCOUNT),TRUE
1512,PETROLEUM EXPLORATION SERVICE,TRUE
1513,MINERAL EXPLORATION (OWN ACCOUNT),TRUE
1514,MINERAL EXPLORATION SERVICES,TRUE
1520,OTHER MINING SERVICES,TRUE
2111,MEAT PROCESSING,TRUE
2112,POULTRY PROCESSING,TRUE
2113,BACON HAM & SMALLGOOD MFG,TRUE
2121,MILK & CREAM PROCESSING,TRUE
2122,ICE CREAM MANUFACTURING,TRUE
2123,Cheese Manufacturing,TRUE
2129,DAIRY PRODUCTS MFG n.e.c.,TRUE
2130,FRUIT & VEGETABLE PROCESSING,TRUE
2140,OIL & FAT MFG,TRUE
2151,FLOUR MILL PRODUCT MFG,TRUE
2152,CEREAL FOOD & BAKING MIX MFG,TRUE
2161,BREAD MANUFACTURING,TRUE
2162,CAKE & PASTRY MFG,TRUE
2163,BISCUIT MANUFACTURING,TRUE
2171,SUGAR MANUFACTURING,TRUE
2172,CONFECTIONERY MANUFACTURING,TRUE
2173,SEAFOOD PROCESSING,TRUE
2174,PREPARED ANIMAL & BIRD FEED MFG,TRUE
2179,FOOD MFG n.e.c.,TRUE
2181,SOFT DRINK CORDIAL & SYRUP MFG,TRUE
2182,BEER & MALT MFG,TRUE
2183,WINE MANUFACTURING,TRUE
2184,SPIRIT MANUFACTURING,TRUE
2190,TOBACCO PRODUCTS MFG,TRUE
2211,WOOL SCOURING,TRUE
2212,SYNTHETIC FIBRE TEXTILE MFG,TRUE
2213,COTTON TEXTILE MFG,TRUE
2214,WOOL TEXTILE MFG,TRUE
2215,TEXTILE FINISHING,TRUE
2221,MADE-UP TEXTILE PRODUCT MFG,TRUE
2222,TEXTILE FLOOR COVERING MFG,TRUE
2223,ROPE CORDAGE & TWINE MFG,TRUE
2229,TEXTILE PRODUCT MFG n.e.c.,TRUE
2231,HOSIERY MANUFACTURING,TRUE
2232,CARDIGAN & PULLOVER MFG,TRUE
2239,KNITTING MILL PRODUCT MFG n.e.c.,TRUE
2241,MEN'S & BOY'S WEAR MFG,TRUE
2242,WOMEN'S & GIRL'S WEAR MFG,TRUE
2243,SLEEPWEAR UNDERWEAR & INFANT CLOTHING MFG,TRUE
2249,CLOTHING MFG n.e.c.,TRUE
2250,FOOTWEAR MFG,TRUE
2261,LEATHER TANNING & FUR DRESSING,TRUE
2262,LEATHER & LEATHER SUBSTITUTE PRODUCT MFG,TRUE
2311,LOG SAWMILLING,TRUE
2312,WOOD CHIPPING,TRUE
2313,TIMBER RESAWING & DRESSING,TRUE
2321,PLYWOOD & VENEER MFG,TRUE
2322,FABRICATED WOOD MFG,TRUE
2323,WOODEN STRUCTURAL COMPONENT MFG,TRUE
2329,WOOD PRODUCT MFG n.e.c.,TRUE
2331,PULP PAPER & PAPERBOARD MFG,TRUE
2332,SOLID PAPERBOARD CONTAINER MFG,TRUE
2333,CORRUGATED PAPERBOARD CONTAINER MFG,TRUE
2334,PAPER BAG & SACK MFG,TRUE
2339,PAPER PRODUCT MFG,TRUE
2411,PAPER STATIONERY MFG,TRUE
2412,PRINTING,TRUE
2413,SERVICES TO PRINTING,TRUE
2421,NEWSPAPER PRINTING OR PUBLISHING,TRUE
2422,OTHER PERIODICAL PUBLISHING,TRUE
2423,BOOK & OTHER PUBLISHING,TRUE
2430,RECORDED MEDIA MFG & PUBLISHING,TRUE
2510,PETROLEUM REFINING,TRUE
2520,PETROLEUM & COAL PRODUCT MFG n.e.c.,TRUE
2531,FERTILIZER MFG,TRUE
2532,INDUSTRIAL GAS MFG,TRUE
2533,SYNTHETIC RESIN MFG,TRUE
2534,ORGANIC INDUSTRIAL CHEMICAL MFG n.e.c.,TRUE
2535,INORGANIC INDUSTRIAL CHEMICAL MFG,TRUE
2541,EXPLOSIVE MFG,TRUE
2542,PAINT MFG,TRUE
2543,MEDICINAL & PHARMACEUTICAL PRODUCT MFG,TRUE
2544,PESTICIDE MFG,TRUE
2545,SOAP & OTHER DETERGENT MFG,TRUE
2546,COSMETIC & TOILETRY PREPARATION MFG,TRUE
2547,INK MFG,TRUE
2549,CHEMICAL PRODUCT MFG,TRUE
2551,RUBBER TYRE MFG,TRUE
2559,RUBBER PRODUCT MFG n.e.c.,TRUE
2561,PLASTIC BLOW MOULDED PRODUCT MFG,TRUE
2562,PLASTIC EXTRUDED PRODUCT MFG,TRUE
2563,PLASTIC BAG & FILM MFG,TRUE
2564,PLASTIC PROD RIGID FIBRE REINFORCED MFG,TRUE
2565,PLASTIC FOAM PRODUCT MFG,TRUE
2566,PLASTIC INJECTION MOULDED PRODUCT MFG,TRUE
2610,GLASS & GLASS PRODUCT MFG,TRUE
2621,CLAY BRICK MFG,TRUE
2622,CERAMIC PRODUCT MFG,TRUE
2623,CERAMIC TILE & PIPE MFG,TRUE
2629,CERAMIC PRODUCT MFG nec,TRUE
2631,CEMENT & LIME MFG,TRUE
2632,PLASTER PRODUCT MFG,TRUE
2633,CONCRETE SLURRY MFG,TRUE
2634,CONCRETE PIPE & BOX CULVERT MFG,TRUE
2635,CONCRETE PRODUCT MFG n.e.c.,TRUE
2640,NON-METALLIC MINERAL PRODUCT MFG n.e.c.,TRUE
2711,BASIC IRON & STEEL MFG,TRUE
2712,IRON & STEEL CASTING & FORGING,TRUE
2713,STEEL PIPE & TUBE MFG,TRUE
2721,ALUMINA PRODUCTION,TRUE
2722,ALUMINIUM SMELTING,TRUE
2723,COPPER SILVER LEAD & ZINC SMELTING REFINING,TRUE
2729,BASIC NON-FERROUS METAL MFG,TRUE
