Name,ANZ_Product_Code__c,IDR_Product_or_Service_Line__c,IDR_Product_or_Service_Category__c,IDR_Product_or_Service_Type__c,IDR_Workbasket__c
ANZ Business Black Credit Card,1,1,1,1,IDR_Business_Owners
ANZ Business 55 Days Interest Free Credit Card,2,1,1,1,IDR_Business_Owners
ANZ Business Rewards Options Credit Card,3,1,1,1,IDR_Business_Owners
ANZ Business Low Rate Credit Card,4,1,1,1,IDR_Business_Owners
ANZ Visa Purchasing Card,5,1,1,1,IDR_Business_Owners
ANZ Virtual Card,6,1,1,1,IDR_Business_Owners
ANZ Travel Account,7,1,1,1,IDR_Business_Owners
ANZ Corporate Card,8,1,1,1,IDR_Business_Owners
AGRI Finance Loan,9,1,1,2,IDR_Business_Owners
ANZ Business Loan (ABL) for Personal Investment,10,1,1,2,IDR_Business_Owners
ANZ Business Loan (ABL),11,1,1,2,IDR_Business_Owners
ANZ Business Mortgage Loan (BML),12,1,1,2,IDR_Business_Owners
ANZ Business Saver Loan,13,1,1,2,IDR_Business_Owners
Investment Property Loan (Grand Fathered),14,1,1,2,IDR_Business_Owners
Tailored Commercial Facility (TCF) - VARIABLE INT,15,1,1,3,IDR_Business_Owners
Tailored Commercial Facility (TCF) - RANGE INT,16,1,1,3,IDR_Business_Owners
Tailored Commercial Facility (TCF) - FIXED INT,17,1,1,3,IDR_Business_Owners
Tailored Commercial Facility (TCF) - FIX INT IN ADV,18,1,1,3,IDR_Business_Owners
Tailored Commercial Facility (TCF) - CAPPED INT,19,1,1,3,IDR_Business_Owners
Tailored Commercial Facility (TCF),20,1,1,3,IDR_Business_Owners
ANZ Tailored Business Facility,21,1,1,3,IDR_Business_Owners
Chattel Mortgage,22,1,1,4,IDR_Business_Owners
Finance Lease,23,1,1,4,IDR_Business_Owners
Novated Lease,24,1,1,4,IDR_Business_Owners
Luxury Asset Lease,25,1,1,4,IDR_Business_Owners
Offer to Hire,26,1,1,4,IDR_Business_Owners
ANZ Revolving AGRI Line overdraft,27,1,1,6,IDR_Business_Owners
Business Credit Facility (Commercial Overdraft),28,1,1,6,IDR_Business_Owners
Business Advantage Overdraft,29,1,1,6,IDR_Business_Owners
Agri Finance Offset Account,30,2,5,27,IDR_Business_Owners
ANZ Business Offset,31,2,5,27,IDR_Business_Owners
BML Offset Account - with Cheque Book,32,2,5,27,IDR_Business_Owners
ANZ First Credit Card,33,1,2,11,IDR_Everyday_Banking
ANZ Platinum Credit Card,34,1,2,11,IDR_Everyday_Banking
ANZ First (for Students) Credit Card,35,1,2,11,IDR_Everyday_Banking
ANZ Low Rate Credit Card,36,1,2,11,IDR_Everyday_Banking
ANZ Rewards Black Credit Card,37,1,2,11,IDR_Everyday_Banking
ANZ Rewards Travel Adventures Credit Card,38,1,2,11,IDR_Everyday_Banking
ANZ Rewards Platinum Credit Card,39,1,2,11,IDR_Everyday_Banking
ANZ Rewards Credit Card,40,1,2,11,IDR_Everyday_Banking
ANZ Frequent Flyer Credit Card,41,1,2,11,IDR_Everyday_Banking
ANZ Frequent Flyer Platinum Credit Card,42,1,2,11,IDR_Everyday_Banking
ANZ Frequent Flyer Black Credit Card,43,1,2,11,IDR_Everyday_Banking
Travel Money,44,1,2,11,IDR_Everyday_Banking
ANZ Travel Card (Multi Currency),45,6,20,139,IDR_Everyday_Banking
ANZ Breakfree Package,46,1,2,15,IDR_Home_Owners
ANZ Standard Variable Home Loan,47,1,2,15,IDR_Home_Owners
ANZ Fixed Home Loan,48,1,2,15,IDR_Home_Owners
ANZ Simplicity Plus Home Loan,49,1,2,15,IDR_Home_Owners
ANZ Equity Manager,50,1,2,18,IDR_Home_Owners
ANZ Assured,51,1,2,18,IDR_Everyday_Banking
ANZ Personal Overdraft,52,1,2,18,IDR_Everyday_Banking
ANZ Variable Rate Personal Loan,53,1,2,20,IDR_Everyday_Banking
ANZ Fixed Rate Personal Loan,54,1,2,20,IDR_Everyday_Banking
Cash Covered Facility Account,55,1,3,23,IDR_Everyday_Banking
Cash Cover Indemnity Guarantee,56,1,3,23,IDR_Everyday_Banking
Indemnity Guarantee Facility,57,1,3,23,IDR_Everyday_Banking
Business Classic Account,58,2,5,27,IDR_Business_Owners
GST Payment Account,59,2,5,27,IDR_Business_Owners
Business Extra 50 Account,60,2,5,27,IDR_Business_Owners
Business Extra Account,61,2,5,27,IDR_Business_Owners
Negotiator Account,62,2,5,27,IDR_Business_Owners
ANZ Business Essentials (Previously ANZ Business Premium Saver),63,2,5,27,IDR_Business_Owners
Negotiator Investor Account,64,2,5,27,IDR_Business_Owners
Statutory Trust Account,65,2,5,27,IDR_Business_Owners
Business Advantage Account,66,2,5,27,IDR_Business_Owners
Security Deposit Account,67,2,5,27,IDR_Business_Owners
Farm Management Deposit Account,68,2,5,27,IDR_Business_Owners
ANZ One Offset Account,69,2,5,29,IDR_Everyday_Banking
ANZ Access Select,70,2,5,31,IDR_Everyday_Banking
ANZ Everyday Visa Debit,71,2,5,31,IDR_Everyday_Banking
ANZ V2Plus (Retail),72,2,5,31,IDR_Everyday_Banking
ANZ First Home Saver,73,2,5,31,IDR_Everyday_Banking
ANZ Cash Management Account,74,2,5,31,IDR_Everyday_Banking
ANZ Passbook Pensioner Advantage,75,2,5,31,IDR_Everyday_Banking
ANZ Passbook Savings,76,2,5,31,IDR_Everyday_Banking
ANZ Access Advantage,77,2,5,31,IDR_Everyday_Banking
ANZ Pensioner Advantage,78,2,5,31,IDR_Everyday_Banking
ANZ Access Basic,79,2,5,31,IDR_Everyday_Banking
Staff Cheque Account,80,2,5,31,IDR_Everyday_Banking
Retired Officers Cheque Account,81,2,5,31,IDR_Everyday_Banking
Security Deposit,82,2,5,31,IDR_Everyday_Banking
ANZ Access Limited,83,2,5,31,IDR_Everyday_Banking
V2 Plus,84,2,5,31,IDR_Everyday_Banking
V2 Plus Broking,85,2,5,31,IDR_Everyday_Banking
V2 Plus including Margin Lending,86,2,5,31,IDR_Everyday_Banking
V2 Plus Intermediary,87,2,5,31,IDR_Everyday_Banking
Custodial Services,88,2,6,33,IDR_Everyday_Banking
ANZ Premium Cash Management Account,89,2,7,35,IDR_Everyday_Banking
ANZ Cash Investment Account,90,2,7,35,IDR_Everyday_Banking
Investor Cash Hub,91,2,7,35,IDR_Everyday_Banking
ANZ SMSF Cash Hub,92,2,7,35,IDR_Everyday_Banking
ANZ Cash Advantage,93,2,7,35,IDR_Everyday_Banking
Prime Cash Management Account,94,2,7,35,IDR_Everyday_Banking
Prime Cash Management Account - Pension,95,2,7,35,IDR_Everyday_Banking
ANZ Online Saver,97,2,7,37,IDR_Everyday_Banking
ANZ Progress Saver,98,2,7,37,IDR_Everyday_Banking
Business Online Saver Account,99,2,7,37,IDR_Everyday_Banking
ANZ Term Deposit,100,2,7,38,IDR_Everyday_Banking
ANZ Advance Notice Term Deposit,101,2,7,38,IDR_Everyday_Banking
OnePath Life Term Deposit,102,2,7,38,IDR_Wealth
ANZ Farm Management Deposit,103,2,7,38,IDR_Business_Owners
Seniors Term Deposit,104,2,7,38,IDR_Everyday_Banking
ANZ Business Notice Term Deposit,105,2,7,38,IDR_Business_Owners
ANZ Term Deposit via External Platforms & Oasis Wrap,106,2,7,38,IDR_Wealth
ANZ Credit Card Insurance,107,3,8,40,IDR_Everyday_Banking
ANZ Loan Protection Insurance,108,3,8,40,IDR_Everyday_Banking
ANZ Mortgage Protection Insurance,109,3,8,40,IDR_Home_Owners
ANZ Landlord Insurance,111,3,8,41,IDR_Wealth
ANZ Car Insurance (Comprehensive),112,3,8,44,IDR_Wealth
"ANZ Car Insurance (Third Party Property Damage, Fire and Theft)",113,3,8,45,IDR_Wealth
ANZ Car Insurance (Third Party Property Damage),114,3,8,46,IDR_Wealth
ANZ Travel Insurance,115,3,8,56,IDR_Wealth
ANZ Share Investment Loan,116,4,15,111,IDR_Wealth
White-Label ANZ Share Investing Service,117,4,15,111,IDR_Wealth
ANZ Accident Cover Plus,118,5,17,115,IDR_Wealth
ANZ Critical Illness Cover,119,5,17,115,IDR_Wealth
ANZ Income Cover,120,5,17,115,IDR_Wealth
ANZ Income Protection,121,5,17,115,IDR_Wealth
ANZ 50+ Life Cover,122,5,18,116,IDR_Wealth
ANZ Life Insurance,123,5,18,120,IDR_Wealth
ANZ Recover Well,124,5,18,122,IDR_Wealth
ANZ Credit Cover Plus,125,5,18,122,IDR_Wealth
ANZ Credit Cover,126,5,18,122,IDR_Wealth
ANZ Smart Choice Super for Employers and their Employees,127,8,24,177,IDR_Wealth
ANZ Smart Choice Pension,128,8,28,172,IDR_Wealth
ANZ Smart Choice Super,129,8,28,177,IDR_Wealth
ANZ Lenders Mortgage Insurance,130,3,8,40,IDR_Home_Owners
Asset Finance,131,1,1,4,IDR_Business_Owners
ANZ Low Rate Platinum Credit Card,132,1,2,11,IDR_Everyday_Banking
ANZ Fixed Investment Property Loan,133,1,2,17,IDR_Home_Owners
ANZ Simplicity Plus Investment Property Loan,134,1,2,17,IDR_Home_Owners
ANZ Standard Variable Investment Property Loan,135,1,2,17,IDR_Home_Owners
Margin Lending,136,1,4,26,IDR_Wealth
ANZ Business Visa Debit card (ABVD),137,2,5,27,IDR_Business_Owners
Missing Funds,138,2,5,27,IDR_Business_Owners
ANZ Access Visa Debit card (AAVD),139,2,5,31,IDR_Everyday_Banking
ANZ Home and Contents Insurance,140,3,8,41,IDR_Wealth
ANZ Contents Insurance,141,3,8,42,IDR_Wealth
ANZ ATM,142,6,19,126,IDR_Everyday_Banking
Bank Drafts,143,6,19,127,IDR_Everyday_Banking
Cheque,144,6,19,128,IDR_Everyday_Banking
Branch Transaction,145,6,19,129,IDR_Everyday_Banking
Direct Debit,146,6,19,130,IDR_Everyday_Banking
EFTPOS Transaction,147,6,19,131,IDR_Everyday_Banking
Cash Pack,148,6,19,133,IDR_Everyday_Banking
Foreign Currency Transaction,149,6,19,133,IDR_Everyday_Banking
FOREX,150,6,19,133,IDR_Everyday_Banking
International payments,151,6,19,133,IDR_Everyday_Banking
Merchant services,152,6,19,134,IDR_Business_Owners
ANZ Reward Points,154,6,20,137,IDR_Everyday_Banking
Qantas Frequent Flyer Points,155,6,20,137,IDR_Everyday_Banking
ANZ App,156,6,20,138,IDR_Everyday_Banking
ANZ Cashactive Virtual,157,6,20,138,IDR_Everyday_Banking
ANZ FX Online,158,6,20,138,IDR_Everyday_Banking
ANZ IB4B - Internet Banking for Business,159,6,20,138,IDR_Everyday_Banking
ANZ Internet Banking,160,6,20,138,IDR_Everyday_Banking
ANZ Private FX Online,161,6,20,138,IDR_Everyday_Banking
ANZ Transactive,162,6,20,138,IDR_Everyday_Banking
Currency by ANZ (app),163,6,20,138,IDR_Everyday_Banking
Power of Attorney,164,7,21,180,IDR_Everyday_Banking
Wills,165,7,21,181,IDR_Everyday_Banking
Direct Investments,166,9,31,185,IDR_Wealth
IPO & Capital Raising Campaigns,167,9,31,185,IDR_Business_Owners
Self Managed Super Fund (SMSF),172,9,32,186,IDR_Wealth
Open Banking/Data Sharing,173,10,34,188,IDR_Everyday_Banking
